Gene	Annotation
group_1008	hypothetical protein
trxB_2	Thioredoxin reductase
group_1012	hypothetical protein
xylG_2	Xylose import ATP-binding protein XylG
group_1025	hypothetical protein
rluB	Ribosomal large subunit pseudouridine synthase B
group_1030	Cell wall synthesis protein Wag31
group_1037	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
group_1047	hypothetical protein
group_1051	hypothetical protein
lacI_1	Lactose operon repressor
ftsL	hypothetical protein
ghrB	Glyoxylate/hydroxypyruvate reductase B
ykfB	L-Ala-D/L-Glu epimerase
cofC	2-phospho-L-lactate guanylyltransferase
group_1112	hypothetical protein
group_1116	Stress responsive A/B Barrel Domain protein
group_1137	hypothetical protein
mepM_1	Murein DD-endopeptidase MepM
dauA	C4-dicarboxylic acid transporter DauA
chmD	dTDP-4-oxo-6-deoxy-D-allose reductase
cpdA_2	3',5'-cyclic adenosine monophosphate phosphodiesterase CpdA
degQ	Periplasmic pH-dependent serine endoprotease DegQ precursor
moeZ_2	putative adenylyltransferase/sulfurtransferase MoeZ
nplT	Neopullulanase
murE	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
ftsQ	Cell division protein FtsQ
group_1193	hypothetical protein
isfD_1	Sulfoacetaldehyde reductase
thiL	Thiamine-monophosphate kinase
tcrX_1	putative transcriptional regulatory protein TcrX
tcrX_2	putative transcriptional regulatory protein TcrX
betI	Bacterial regulatory proteins, tetR family
resA	Thiol-disulfide oxidoreductase ResA
tsaE	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
sbcC	Nuclease SbcCD subunit C
group_1220	hypothetical protein
drrA_2	Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
miaA	tRNA dimethylallyltransferase
group_1252	hypothetical protein
menA_1	prenyltransferase
alx	Inner membrane protein alx
tag	DNA-3-methyladenine glycosylase 1
acuI	Acrylyl-CoA reductase AcuI
cytR_1	HTH-type transcriptional repressor CytR
mshD_1	Mycothiol acetyltransferase
recX	recombination regulator RecX
trmH	tRNA (guanosine(18)-2'-O)-methyltransferase
group_1298	hypothetical protein
ykfC	Gamma-D-glutamyl-L-lysine endopeptidase
dhaM	PTS-dependent dihydroxyacetone kinase, phosphotransferase subunit DhaM
group_1318	Fructosamine kinase
tsaB	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
glbO	Group 2 truncated hemoglobin GlbO
ssb1	Single-stranded DNA-binding protein 1
group_1359	hypothetical protein
